"cvegeo","RR_2018","RR_2022","TCR","tendencia"
"15109",64.9094511159356,54.9694258930476,-15.3136793671757,"Disminución"
"15104",124.908762513091,99.5366458069052,-20.3125194707831,"Disminución"
"15122",137.012575146593,105.657408973083,-22.8848820190133,"Disminución"
"15121",46.5220523610191,50.9997165019695,9.62482073276331,"Estable"
"15100",14.0592767860247,12.2431245816811,-12.9178209660744,"Disminución"
"15099",74.5862447245209,83.3274553632384,11.7196014774609,"Aumento"
"15033",448.348940004911,390.999024386908,-12.7913574675508,"Disminución"
"15031",242.177931161634,226.138395288889,-6.62303777879719,"Estable"
"15037",37.9273606334016,39.5443361993942,4.26334851407649,"Estable"
"15039",61.0260545126355,56.1509619090429,-7.98854299614464,"Estable"
"15058",284.436520910801,257.944531032239,-9.31384963988844,"Estable"
"15057",283.636022856984,251.854898980455,-11.2048968803071,"Disminución"
"09017",137.907299499298,111.496115308245,-19.1514040858931,"Disminución"
"09016",71.0344662793788,55.7752624782184,-21.481408392858,"Disminución"
"15070",52.8031057314313,43.3002158283478,-17.9968389575744,"Disminución"
"15002",44.4255921526864,38.3034473732022,-13.7806711916029,"Disminución"
"15108",22.8027598801486,20.5001983402182,-10.0977318185724,"Disminución"
"15013",249.909022706864,249.439135944044,-0.188023128468843,"Estable"
"15011",21.391914604872,20.1359898254531,-5.87102558427794,"Estable"
"15025",99.3837460733394,87.6312358957494,-11.8253845743723,"Disminución"
"15020",22.4760274503201,18.6049865877248,-17.2229762183362,"Disminución"
"09009",51.4578006043037,43.7087030426519,-15.0591309201888,"Disminución"
"09008",62.0173671284881,51.8626113711181,-16.3740517012456,"Disminución"
"09011",138.426335451589,99.0520796625466,-28.444194278922,"Disminución"
"09010",256.806279027128,196.395099247758,-23.5240275308802,"Disminución"
"09013",126.484482309982,91.1919243124778,-27.9026781411895,"Disminución"
"09012",148.11737182982,136.845097961689,-7.61036583951978,"Estable"
"09015",176.338661940611,132.203930925771,-25.0283916919506,"Disminución"
"09014",36.5654017797085,26.8523973208203,-26.563374080791,"Disminución"
"15029",18.3187177121492,18.3436992725779,0.136371774603463,"Estable"
"15028",6.07842028186051,5.57308642914457,-8.31357210069828,"Estable"
"15030",10.3020704503671,9.34651751274029,-9.27534850621016,"Estable"
"09003",225.294695980783,167.572700494854,-25.6206632981951,"Disminución"
"09002",115.02917843395,84.8069400851292,-26.2735409921881,"Disminución"
"09005",387.317306179362,284.520350483155,-26.5407597481852,"Disminución"
"09004",58.3267000227911,51.9745700091491,-10.8906041506889,"Disminución"
"09007",470.614426902822,374.192002233344,-20.4886249034156,"Disminución"
"09006",67.1609878436302,56.5219624397459,-15.8410793906948,"Disminución"
